Date/time,Location,Picture Name,Predicted NO2
2021-04-17 02:54:27.528619,"(0.3075273334980011, 0.877017080783844)",bergson_img_2021-04-17_02:54:06.jpg,low
2021-04-17 02:54:48.399971,"(0.32545334100723267, 0.891741156578064)",bergson_img_2021-04-17_02:54:27.jpg,low
2021-04-17 02:55:10.695177,"(0.344146192073822, 0.9073790907859802)",bergson_img_2021-04-17_02:54:48.jpg,low
2021-04-17 02:55:31.335052,"(0.3619004487991333, 0.9225230813026428)",bergson_img_2021-04-17_02:55:10.jpg,low
2021-04-17 02:55:52.154454,"(0.37956154346466064, 0.9378929138183594)",bergson_img_2021-04-17_02:55:31.jpg,low
2021-04-17 02:56:14.460134,"(0.39795681834220886, 0.9542521238327026)",bergson_img_2021-04-17_02:55:52.jpg,low
2021-04-17 02:56:35.371315,"(0.4154069721698761, 0.9701286554336548)",bergson_img_2021-04-17_02:56:14.jpg,low
2021-04-17 02:56:56.122807,"(0.4327436685562134, 0.9862750172615051)",bergson_img_2021-04-17_02:56:35.jpg,low
2021-04-17 02:57:18.378291,"(0.45077621936798096, 1.003496527671814)",bergson_img_2021-04-17_02:56:56.jpg,low
2021-04-17 02:57:39.134277,"(0.46785739064216614, 1.0202436447143555)",bergson_img_2021-04-17_02:57:18.jpg,low
2021-04-17 02:58:00.096672,"(0.4848018288612366, 1.037308692932129)",bergson_img_2021-04-17_02:57:39.jpg,low
2021-04-17 02:58:22.362698,"(0.502397358417511, 1.0555450916290283)",bergson_img_2021-04-17_02:58:00.jpg,low
2021-04-17 02:58:43.416985,"(0.5190352201461792, 1.073312759399414)",bergson_img_2021-04-17_02:58:22.jpg,low
2021-04-17 02:59:05.808099,"(0.5362898707389832, 1.0923229455947876)",bergson_img_2021-04-17_02:58:43.jpg,low
2021-04-17 02:59:26.597902,"(0.5525826215744019, 1.1108659505844116)",bergson_img_2021-04-17_02:59:05.jpg,low
2021-04-17 02:59:47.883819,"(0.568691611289978, 1.129814863204956)",bergson_img_2021-04-17_02:59:26.jpg,low
2021-04-17 03:00:10.861497,"(0.5861114263534546, 1.151056170463562)",bergson_img_2021-04-17_02:59:47.jpg,low
2021-04-17 03:00:32.146198,"(0.6025422215461731, 1.1718727350234985)",bergson_img_2021-04-17_03:00:10.jpg,low
2021-04-17 03:00:53.121990,"(0.61800217628479, 1.19221830368042)",bergson_img_2021-04-17_03:00:32.jpg,low
2021-04-17 03:01:15.518520,"(0.6339502334594727, 1.214051604270935)",bergson_img_2021-04-17_03:00:53.jpg,low
2021-04-17 03:01:36.380898,"(0.6489230990409851, 1.2354074716567993)",bergson_img_2021-04-17_03:01:15.jpg,low
2021-04-17 03:01:57.353046,"(0.6636377573013306, 1.2572853565216064)",bergson_img_2021-04-17_03:01:36.jpg,low
2021-04-17 03:02:19.777133,"(0.6787607669830322, 1.2807854413986206)",bergson_img_2021-04-17_03:01:57.jpg,low
2021-04-17 03:02:40.878126,"(0.6929020285606384, 1.3037903308868408)",bergson_img_2021-04-17_03:02:19.jpg,low
2021-04-17 03:03:02.316983,"(0.7073913216590881, 1.3285102844238281)",bergson_img_2021-04-17_03:02:40.jpg,low
2021-04-17 03:03:23.866979,"(0.7208946943283081, 1.3527158498764038)",bergson_img_2021-04-17_03:03:02.jpg,low
2021-04-17 03:03:44.865695,"(0.7340614199638367, 1.3775324821472168)",bergson_img_2021-04-17_03:03:23.jpg,low
2021-04-17 03:04:07.202194,"(0.7480754852294922, 1.4054312705993652)",bergson_img_2021-04-17_03:03:44.jpg,low
2021-04-17 03:04:28.126066,"(0.7604803442955017, 1.4315742254257202)",bergson_img_2021-04-17_03:04:07.jpg,low
2021-04-17 03:04:49.125361,"(0.7724932432174683, 1.4583684206008911)",bergson_img_2021-04-17_03:04:28.jpg,low
2021-04-17 03:05:11.555016,"(0.7846371531486511, 1.4871469736099243)",bergson_img_2021-04-17_03:04:49.jpg,low
2021-04-17 03:05:32.548618,"(0.7957879900932312, 1.5153001546859741)",bergson_img_2021-04-17_03:05:11.jpg,low
2021-04-17 03:05:53.354046,"(0.8064877390861511, 1.544123888015747)",bergson_img_2021-04-17_03:05:32.jpg,low
2021-04-17 03:06:15.558005,"(0.817191481590271, 1.5750396251678467)",bergson_img_2021-04-17_03:05:53.jpg,low
2021-04-17 03:06:36.563388,"(0.8269050121307373, 1.6052331924438477)",bergson_img_2021-04-17_03:06:15.jpg,low
2021-04-17 03:06:57.514193,"(0.83610600233078, 1.636086344718933)",bergson_img_2021-04-17_03:06:36.jpg,low
2021-04-17 03:07:20.137257,"(0.8455711603164673, 1.6706205606460571)",bergson_img_2021-04-17_03:06:57.jpg,low
2021-04-17 03:07:40.940973,"(0.8532618284225464, 1.70126473903656)",bergson_img_2021-04-17_03:07:20.jpg,low
2021-04-17 03:08:02.723664,"(0.861120343208313, 1.735610008239746)",bergson_img_2021-04-17_03:07:40.jpg,low
2021-04-17 03:08:23.786094,"(0.8680146932601929, 1.7689887285232544)",bergson_img_2021-04-17_03:08:02.jpg,low
2021-04-17 03:08:44.690213,"(0.8742977380752563, 1.8029154539108276)",bergson_img_2021-04-17_03:08:23.jpg,low
2021-04-17 03:09:07.240004,"(0.8804574608802795, 1.8406572341918945)",bergson_img_2021-04-17_03:08:44.jpg,low
2021-04-17 03:09:28.195916,"(0.8854053616523743, 1.8756039142608643)",bergson_img_2021-04-17_03:09:07.jpg,low
2021-04-17 03:09:49.094541,"(0.8896929621696472, 1.9109654426574707)",bergson_img_2021-04-17_03:09:28.jpg,low
2021-04-17 03:10:11.776834,"(0.8934623599052429, 1.9483981132507324)",bergson_img_2021-04-17_03:09:49.jpg,low
2021-04-17 03:10:32.835847,"(0.8963595032691956, 1.9844393730163574)",bergson_img_2021-04-17_03:10:11.jpg,low
2021-04-17 03:10:53.827211,"(0.8985626697540283, 2.020721435546875)",bergson_img_2021-04-17_03:10:32.jpg,low
2021-04-17 03:11:16.100979,"(0.9001712799072266, 2.060659646987915)",bergson_img_2021-04-17_03:10:53.jpg,low
2021-04-17 03:11:37.006615,"(0.9009003639221191, 2.097236156463623)",bergson_img_2021-04-17_03:11:16.jpg,low
2021-04-17 03:11:57.988977,"(0.9009360671043396, 2.132105827331543)",bergson_img_2021-04-17_03:11:37.jpg,low
2021-04-17 03:12:20.339023,"(0.9001825451850891, 2.1721701622009277)",bergson_img_2021-04-17_03:11:57.jpg,low
2021-04-17 03:12:41.100708,"(0.8987546563148499, 2.2086451053619385)",bergson_img_2021-04-17_03:12:20.jpg,low
2021-04-17 03:13:03.161685,"(0.8965063095092773, 2.2466742992401123)",bergson_img_2021-04-17_03:12:41.jpg,low
2021-04-17 03:13:24.002041,"(0.8936490416526794, 2.28273344039917)",bergson_img_2021-04-17_03:13:03.jpg,low
2021-04-17 03:13:44.742693,"(0.8902902603149414, 2.3167994022369385)",bergson_img_2021-04-17_03:13:24.jpg,low
2021-04-17 03:14:06.988027,"(0.8858886361122131, 2.35390043258667)",bergson_img_2021-04-17_03:13:44.jpg,low
2021-04-17 03:14:27.864647,"(0.8810091018676758, 2.388897180557251)",bergson_img_2021-04-17_03:14:06.jpg,low
2021-04-17 03:14:48.672667,"(0.8754817843437195, 2.423435926437378)",bergson_img_2021-04-17_03:14:27.jpg,low
2021-04-17 03:15:10.958370,"(0.8690137267112732, 2.459080457687378)",bergson_img_2021-04-17_03:14:48.jpg,low
2021-04-17 03:15:31.943562,"(0.8622104525566101, 2.4925501346588135)",bergson_img_2021-04-17_03:15:10.jpg,low
2021-04-17 03:15:52.622849,"(0.8548109531402588, 2.525444746017456)",bergson_img_2021-04-17_03:15:31.jpg,low
2021-04-17 03:16:14.867583,"(0.8464400172233582, 2.559258222579956)",bergson_img_2021-04-17_03:15:52.jpg,low
2021-04-17 03:16:35.524952,"(0.8378790020942688, 2.590893030166626)",bergson_img_2021-04-17_03:16:14.jpg,low
2021-04-17 03:16:56.417371,"(0.8287807703018188, 2.6218831539154053)",bergson_img_2021-04-17_03:16:35.jpg,low
2021-04-17 03:17:19.096476,"(0.8182235956192017, 2.6550703048706055)",bergson_img_2021-04-17_03:16:56.jpg,low
2021-04-17 03:17:40.109254,"(0.8080655336380005, 2.68467378616333)",bergson_img_2021-04-17_03:17:19.jpg,low
2021-04-17 03:18:01.285756,"(0.7974328994750977, 2.713606595993042)",bergson_img_2021-04-17_03:17:40.jpg,low
2021-04-17 03:18:22.913048,"(0.786345899105072, 2.741868734359741)",bergson_img_2021-04-17_03:18:01.jpg,low
2021-04-17 03:18:43.776970,"(0.774824321269989, 2.769463300704956)",bergson_img_2021-04-17_03:18:22.jpg,low
